
State,First_Year,Last_Year,Injury_Intent,Race_Ethnicity,Gender,Total_Deaths,Population,Age_Adjusted_Rate_per_ 100000
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,643,16216113,4.16963
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,460,7922501,6.02272
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,183,8293612,2.34169
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,49,1081919,4.83554
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,41,572400,7.70735
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,,509519,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,150526,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,73855,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,76671,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,394012,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,184261,
Alabama,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,209751,
Alabama,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,2760,24450635,10.723710060119629
Alabama,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,2281,11826020,18.66436
Alabama,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,479,12624615,3.71132
Alabama,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,273,6608065,4.05911
Alabama,2016,2020,Firearm Suicide,non-Hispanic Black,Male,244,3073003,7.90335
Alabama,2016,2020,Firearm Suicide,non-Hispanic Black,Female,29,3535062,0.8418
Alabama,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,2435,16216113,13.84365
Alabama,2016,2020,Firearm Suicide,non-Hispanic white,Male,1995,7922501,23.29395
Alabama,2016,2020,Firearm Suicide,non-Hispanic white,Female,440,8293612,5.15236
Alabama,2016,2020,Firearm Suicide,Latinx,All Genders,32,1081919,3.03883
Alabama,2016,2020,Firearm Suicide,Latinx,Male,27,572400,4.65496
Alabama,2016,2020,Firearm Suicide,Latinx,Female,,509519,
Alabama,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,150526,
Alabama,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,73855,
Alabama,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,76671,
Alabama,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,13,394012,
Alabama,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,10,184261,
Alabama,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,209751,
Alaska,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,866,3681830,23.383060455322266
Alaska,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,713,1922452,36.594970703125
Alaska,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,153,1759378,8.745229721069336
Alaska,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,52,161393,29.32008
Alaska,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,48,90139,46.47108
Alaska,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,,71254,
Alaska,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,490,2345797,20.29691
Alaska,2016,2020,All Firearm Deaths,non-Hispanic white,Male,407,1240847,31.66077
Alaska,2016,2020,All Firearm Deaths,non-Hispanic white,Female,83,1104950,7.48734
Alaska,2016,2020,All Firearm Deaths,Latinx,All Genders,42,263905,15.49289
Alaska,2016,2020,All Firearm Deaths,Latinx,Male,33,138891,22.5198
Alaska,2016,2020,All Firearm Deaths,Latinx,Female,,125014,
Alaska,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,241,601566,39.26929
Alaska,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,195,303854,62.78381
Alaska,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,46,297712,15.24021
Alaska,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,37,309169,11.06197
Alaska,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,27,148721,15.67043
Alaska,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,10,160448,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,230,3681830,6.3461198806762695
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,170,1922452,8.72567
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,60,1759378,3.61462
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,33,161393,19.85333
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,30,90139,31.00475
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,,71254,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,88,2345797,3.80577
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,63,1240847,5.04041
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,25,1104950,2.35676
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,21,263905,7.70913
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,15,138891,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,,125014,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,67,601566,11.7396
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,49,303854,16.60502
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,18,297712,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,20,309169,5.78263
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,13,148721,
Alaska,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,160448,
Alaska,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,589,3681830,15.779520034790039
Alaska,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,504,1922452,25.91863
Alaska,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,85,1759378,4.68724
Alaska,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,17,161393,
Alaska,2016,2020,Firearm Suicide,non-Hispanic Black,Male,16,90139,
Alaska,2016,2020,Firearm Suicide,non-Hispanic Black,Female,,71254,
Alaska,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,378,2345797,15.44073
Alaska,2016,2020,Firearm Suicide,non-Hispanic white,Male,324,1240847,24.95153
Alaska,2016,2020,Firearm Suicide,non-Hispanic white,Female,54,1104950,4.75873
Alaska,2016,2020,Firearm Suicide,Latinx,All Genders,19,263905,
Alaska,2016,2020,Firearm Suicide,Latinx,Male,16,138891,
Alaska,2016,2020,Firearm Suicide,Latinx,Female,,125014,
Alaska,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,156,601566,24.82638
Alaska,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,132,303854,42.12454
Alaska,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,24,297712,7.2336
Alaska,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,16,309169,
Alaska,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,13,148721,
Alaska,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,160448,
Arizona,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,5776,35819105,15.615030288696289
Arizona,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,4881,17799758,26.568700790405273
Arizona,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,895,18019347,4.937029838562012
Arizona,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,431,1770992,23.29819
Arizona,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,373,915443,38.83663
Arizona,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,58,855549,6.51536
Arizona,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,3703,19904339,16.46549
Arizona,2016,2020,All Firearm Deaths,non-Hispanic white,Male,3091,9837051,27.41273
Arizona,2016,2020,All Firearm Deaths,non-Hispanic white,Female,612,10067288,5.74561
Arizona,2016,2020,All Firearm Deaths,Latinx,All Genders,1254,11290799,10.82427
Arizona,2016,2020,All Firearm Deaths,Latinx,Male,1095,5676914,18.94067
Arizona,2016,2020,All Firearm Deaths,Latinx,Female,159,5613885,2.7057
Arizona,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,231,1481492,15.50738
Arizona,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,192,718825,26.42827
Arizona,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,39,762667,5.12659
Arizona,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,74,1371483,5.16585
Arizona,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,52,651525,7.49072
Arizona,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,22,719958,3.07485
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,1658,35819105,4.848840236663818
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,1368,17799758,7.91369
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,290,18019347,1.70182
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,301,1770992,16.00306
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,267,915443,26.81508
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,34,855549,3.76901
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,486,19904339,2.63302
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,358,9837051,3.88821
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,128,10067288,1.36627
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,693,11290799,5.73184
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,601,5676914,9.80383
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,92,5613885,1.51511
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,131,1481492,8.93004
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,109,718825,14.99308
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,22,762667,3.01261
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,31,1371483,2.18422
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,18,651525,
Arizona,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,13,719958,
Arizona,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,3988,35819105,10.412030220031738
Arizona,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,3407,17799758,18.04582
Arizona,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,581,18019347,3.11454
Arizona,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,121,1770992,6.82148
Arizona,2016,2020,Firearm Suicide,non-Hispanic Black,Male,100,915443,11.37075
Arizona,2016,2020,Firearm Suicide,non-Hispanic Black,Female,21,855549,2.44348
Arizona,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,3159,19904339,13.50793
Arizona,2016,2020,Firearm Suicide,non-Hispanic white,Male,2688,9837051,23.05048
Arizona,2016,2020,Firearm Suicide,non-Hispanic white,Female,471,10067288,4.25279
Arizona,2016,2020,Firearm Suicide,Latinx,All Genders,517,11290799,4.746
Arizona,2016,2020,Firearm Suicide,Latinx,Male,456,5676914,8.56062
Arizona,2016,2020,Firearm Suicide,Latinx,Female,61,5613885,1.08309
Arizona,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,86,1481492,5.72559
Arizona,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,71,718825,10.04235
Arizona,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,15,762667,
Arizona,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,43,1371483,2.96117
Arizona,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,34,651525,4.88088
Arizona,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,719958,
Arkansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,2980,15054678,19.763309478759766
Arkansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,2471,7392552,33.390411376953125
Arkansas,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,509,7662126,6.804269790649414
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,814,2403868,34.25853
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,698,1144265,61.78572
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,116,1259603,9.39795
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,2068,11055888,17.861
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic white,Male,1691,5429006,29.65575
Arkansas,2016,2020,All Firearm Deaths,non-Hispanic white,Female,377,5626882,6.67333
Arkansas,2016,2020,All Firearm Deaths,Latinx,All Genders,69,1159215,6.14271
Arkansas,2016,2020,All Firearm Deaths,Latinx,Male,56,605421,9.72481
Arkansas,2016,2020,All Firearm Deaths,Latinx,Female,13,553794,
Arkansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,,127542,
Arkansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,62691,
Arkansas,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,,
Arkansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,18,308165,
Arkansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,15,151169,
Arkansas,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,156996,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,1099,15054678,7.7818098068237305
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,900,7392552,12.75134
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,199,7662126,2.80089
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,676,2403868,28.36348
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,580,1144265,50.93595
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,96,1259603,7.79624
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,374,11055888,3.57815
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,282,5429006,5.46663
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,92,5626882,1.7276
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,38,1159215,3.08717
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,27,605421,4.15647
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,11,553794,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,308165,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,151169,
Arkansas,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,,
Arkansas,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,1773,15054678,11.264670372009277
Arkansas,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,1476,7392552,19.321
Arkansas,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,297,7662126,3.81356
Arkansas,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,107,2403868,4.63283
Arkansas,2016,2020,Firearm Suicide,non-Hispanic Black,Male,91,1144265,8.50519
Arkansas,2016,2020,Firearm Suicide,non-Hispanic Black,Female,16,1259603,
Arkansas,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,1620,11055888,13.5472
Arkansas,2016,2020,Firearm Suicide,non-Hispanic white,Male,1344,5429006,22.95858
Arkansas,2016,2020,Firearm Suicide,non-Hispanic white,Female,276,5626882,4.74899
Arkansas,2016,2020,Firearm Suicide,Latinx,All Genders,29,1159215,2.89768
Arkansas,2016,2020,Firearm Suicide,Latinx,Male,27,605421,5.29989
Arkansas,2016,2020,Firearm Suicide,Latinx,Female,,553794,
Arkansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,127542,
Arkansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,62691,
Arkansas,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,,
Arkansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,11,308165,
Arkansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,,151169,
Arkansas,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,156996,
California,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,15802,197224016,7.800879955291748
California,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,13944,98026834,14.017560005187988
California,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,1858,99197182,1.8100800514221191
California,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,2591,12220850,20.81666
California,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,2350,6080247,37.05938
California,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,241,6140603,3.90117
California,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,7244,75383624,8.13495
California,2016,2020,All Firearm Deaths,non-Hispanic white,Male,6278,37684772,14.2556
California,2016,2020,All Firearm Deaths,non-Hispanic white,Female,966,37698852,2.23758
California,2016,2020,All Firearm Deaths,Latinx,All Genders,4994,77442879,6.22504
California,2016,2020,All Firearm Deaths,Latinx,Male,4492,38946163,11.07334
California,2016,2020,All Firearm Deaths,Latinx,Female,502,38496716,1.30094
California,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,139,1035373,13.04904
California,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,116,506493,22.26379
California,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,23,528880,4.1202
California,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,819,31141290,2.50344
California,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,693,14809159,4.46039
California,2016,2020,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,126,16332131,0.73629
California,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,7571,197224016,3.8703300952911377
California,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,6582,98026834,6.63327
California,2016,2020,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,989,99197182,1.00062
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,2213,12220850,17.79316
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,2001,6080247,31.42443
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,212,6140603,3.42108
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,1265,75383624,1.7216
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,974,37684772,2.65316
California,2016,2020,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,291,37698852,0.74704
California,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,All Genders,3646,77442879,4.39304
California,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Male,3259,38946163,7.70189
California,2016,2020,Firearm Homicide (including Legal Intervention),Latinx,Female,387,38496716,0.97336
California,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,77,1035373,7.3773
California,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,60,506493,11.67284
California,2016,2020,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,17,528880,
California,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,366,31141290,1.14006
California,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,284,14809159,1.81976
California,2016,2020,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,82,16332131,0.46723
California,2016,2020,Firearm Suicide,All Races/Ethnicities,All Genders,7972,197224016,3.825670003890991
California,2016,2020,Firearm Suicide,All Races/Ethnicities,Male,7133,98026834,7.09694
California,2016,2020,Firearm Suicide,All Races/Ethnicities,Female,839,99197182,0.77509
California,2016,2020,Firearm Suicide,non-Hispanic Black,All Genders,347,12220850,2.74426
California,2016,2020,Firearm Suicide,non-Hispanic Black,Male,323,6080247,5.17524
California,2016,2020,Firearm Suicide,non-Hispanic Black,Female,24,6140603,0.36529
California,2016,2020,Firearm Suicide,non-Hispanic white,All Genders,5878,75383624,6.27278
California,2016,2020,Firearm Suicide,non-Hispanic white,Male,5217,37684772,11.37259
California,2016,2020,Firearm Suicide,non-Hispanic white,Female,661,37698852,1.47521
California,2016,2020,Firearm Suicide,Latinx,All Genders,1244,77442879,1.68914
California,2016,2020,Firearm Suicide,Latinx,Male,1139,38946163,3.158
California,2016,2020,Firearm Suicide,Latinx,Female,105,38496716,0.2815
California,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,56,1035373,5.12255
California,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,50,506493,9.47203
California,2016,2020,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,528880,
California,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,436,31141290,1.31557
California,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,393,14809159,2.52684
California,2016,2020,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,43,16332131,0.26033
Colorado,2016,2020,All Firearm Deaths,All Races/Ethnicities,All Genders,4248,28409718,14.505590438842773
Colorado,2016,2020,All Firearm Deaths,All Races/Ethnicities,Male,3631,14303254,24.795120239257812
Colorado,2016,2020,All Firearm Deaths,All Races/Ethnicities,Female,617,14106464,4.250969886779785
Colorado,2016,2020,All Firearm Deaths,non-Hispanic Black,All Genders,307,1320051,21.61145
Colorado,2016,2020,All Firearm Deaths,non-Hispanic Black,Male,272,704431,34.65548
Colorado,2016,2020,All Firearm Deaths,non-Hispanic Black,Female,35,615620,5.42375
Colorado,2016,2020,All Firearm Deaths,non-Hispanic white,All Genders,3096,19649994,14.6221
Colorado,2016,2020,All Firearm Deaths,non-Hispanic white,Male,2634,9859617,24.91264
Colorado,2016,2020,All Firearm Deaths,non-Hispanic white,Female,462,9790377,4.46568
Colorado,2016,2020,All Firearm Deaths,Latinx,All Genders,722,6154211,11.59664
Colorado,2016,2020,All Firearm Deaths,Latinx,Male,620,3134160,19.60563
Colorado,2016,2020,All Firearm Deaths,Latinx,Female,102,3020051,3.31062
Colorado,2016,2020,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,53,217607,22.30409
